Site,Year,Sex,Survival,SVL,Mass,Log10 SVL,Log10  Mass,Ln SVL,Ln Mass,Ri Condition,Mi Condition,Std SVL,Std Mass,Std Ri Condition,Std Mi Condition,Relative W
Flamingo Bay Cay,2008,f,1,49,2.4,1.69019608,0.531478917,3.891820298,0.875468737,0.051716475,1.831603786,1.170309395,1.822429907,1.339805063,1.356926995,1.841620626
Flamingo Bay Cay,2008,f,1,47,2.3,1.672097858,0.51851394,3.850147602,0.832909123,0.069353284,1.995263049,0.602611411,1.588785047,1.796717203,2.261121819,1.841620626
Flamingo Bay Cay,2008,f,0,51,2.9,1.707570176,0.591064607,3.931825633,1.064710737,0.081924784,1.957009543,1.73800738,2.990654206,2.122403742,2.049776479,0
Flamingo Bay Cay,2008,f,0,52,3.2,1.716003344,0.62324929,3.951243719,1.16315081,0.099850057,2.034290325,2.021856372,3.691588785,2.586789038,2.476742127,0
Flamingo Bay Cay,2009,f,0,40,0.8,1.602059991,0.255272505,3.688879454,-0.223143551,-0.092108007,1.093877206,-1.788185205,-3.130747701,-3.488939645,-2.792617307,0
Flamingo Bay Cay,2009,f,0,39,0.9,1.591064607,0.278753601,3.663561646,-0.105360516,-0.048745788,1.35760113,-2.320383183,-2.730907637,-1.846431382,-1.26820156,0
Flamingo Bay Cay,2009,f,0,41,1.1,1.612783857,0.322219295,3.713572067,0.09531018,-0.044551397,1.366700637,-1.255987227,-1.931227509,-1.68755291,-1.215603252,0
Flamingo Bay Cay,2009,f,1,44,1.4,1.643452676,0.380211242,3.784189634,0.336472237,-0.042012769,1.322648353,0.340606706,-0.731707317,-1.591392769,-1.470240732,2.028397566
Flamingo Bay Cay,2009,f,1,45,1.5,1.653212514,0.397940009,3.80666249,0.405465108,-0.041931091,1.298820726,0.872804683,-0.331867253,-1.588298883,-1.607972685,2.028397566
Flamingo Bay Cay,2009,f,1,45,1.5,1.653212514,0.397940009,3.80666249,0.405465108,-0.041931091,1.298820726,0.872804683,-0.331867253,-1.588298883,-1.607972685,2.028397566
Flamingo Bay Cay,2009,f,1,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,2.028397566
Flamingo Bay Cay,2009,f,1,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,2.028397566
Flamingo Bay Cay,2009,f,1,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,2.028397566
Flamingo Bay Cay,2009,f,0,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,0
Flamingo Bay Cay,2009,f,0,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,0
Flamingo Bay Cay,2009,f,0,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,0
Flamingo Bay Cay,2009,f,0,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,0
Flamingo Bay Cay,2009,f,0,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,0
Flamingo Bay Cay,2009,f,0,45,1.6,1.653212514,0.414973348,3.80666249,0.470003629,-0.024897751,1.385408774,0.872804683,0.067972811,-0.943096637,-1.107463734,0
Flamingo Bay Cay,2009,f,0,41,1.2,1.612783857,0.342422681,3.713572067,0.182321557,-0.024348011,1.49094615,-1.255987227,-1.531387445,-0.922273134,-0.497421099,0
Flamingo Bay Cay,2009,f,0,41,1.2,1.612783857,0.342422681,3.713572067,0.182321557,-0.024348011,1.49094615,-1.255987227,-1.531387445,-0.922273134,-0.497421099,0
Flamingo Bay Cay,2009,f,0,44,1.5,1.643452676,0.397940009,3.784189634,0.405465108,-0.024284002,1.417123236,0.340606706,-0.331867253,-0.919848566,-0.924143146,0
