rowID,fishID,lake,SL_cm,meanScaleCirculiSpacing,ascendingProcess_cm,bodyDepth_cm,orbitDiameter_cm,headDepth_cm,jawLength_cm,speciesDiagnosticColoration
155,A309,Barombi Mbo,3.53,35.40846368,0.382885146,1.216983046,0.419519324,0.769152631,0.563619702,ambiguous
156,A312,Barombi Mbo,6.315,41.543586,0.607291805,2.190599769,0.699766124,1.38139423,1.020240587,pindu
157,A313,Barombi Mbo,6.57,49.01400469,0.647694534,2.221478437,0.701576627,1.510273282,1.029091982,pindu
158,A315,Barombi Mbo,3.14,44.52319702,0.339009186,1.124247171,0.373263079,0.713202559,0.484128759,pindu
159,A317,Barombi Mbo,4.644,43.51809267,0.462687961,1.461771925,0.541991454,0.967627609,0.72317405,pindu
160,A319,Barombi Mbo,3.74,42.35203418,0.366569226,1.216237926,0.418786565,0.834579782,0.585522564,ambiguous
161,A320,Barombi Mbo,3.473,35.25304091,0.372843649,1.213426687,0.39860796,0.782146409,0.526093343,mariae
162,A325,Barombi Mbo,5.531,38.45114514,0.569689548,1.961735731,0.614772691,1.181380971,0.862525484,pindu
163,A326,Barombi Mbo,3.358,27.07257469,0.302276484,1.053882154,0.418801084,0.712103981,0.512295447,ambiguous
164,A328,Barombi Mbo,8.518,44.26418032,0.76301608,2.740518599,0.882745961,1.800889453,1.314114092,mariae
165,A331,Barombi Mbo,5.82,48.00081502,0.571795351,2.052625499,0.619526835,1.351370478,0.904124539,pindu
166,A333,Barombi Mbo,4.565,42.42986396,0.478771768,1.567198445,0.495820976,0.950310682,0.704178835,pindu
167,A334,Barombi Mbo,3.845,37.01300512,0.394990985,1.367646057,0.509554923,0.902036155,0.687217086,mariae
168,A336,Barombi Mbo,5.053,35.09325396,0.494312276,1.728471739,0.665025139,1.096669176,0.804270831,mariae
169,A339,Barombi Mbo,3.6,38.63488744,0.348574097,1.156571781,0.50629509,0.786294164,0.555031945,mariae
170,A346,Barombi Mbo,3.885,37.71302074,0.381062444,1.306502793,0.465336631,0.840957229,0.634721609,mariae
171,A350,Barombi Mbo,6.215,38.51044629,0.606015844,2.173598018,0.673782436,1.337351673,0.940992395,pindu
172,A352,Barombi Mbo,5.451,42.25818944,0.536920194,1.891470858,0.628439011,1.130530978,0.87369392,pindu
173,A353,Barombi Mbo,5.315,38.77400966,0.509871015,1.951721971,0.596726565,1.200055483,0.853430115,pindu
174,A356,Barombi Mbo,7.002,38.13713877,0.687939398,2.476047983,0.730876637,1.629002195,1.120789146,pindu
175,A357,Barombi Mbo,5.685,42.97325489,0.594903027,2.041817253,0.623236253,1.324835861,0.961294033,pindu
176,A358,Barombi Mbo,6.134,44.53366667,0.617259953,2.093925849,0.664315118,1.186233568,0.959023654,pindu
177,A360,Barombi Mbo,7.16,90.4831587,0.67509046,2.357468302,0.836447811,1.637187354,1.11448455,mariae
178,A361,Barombi Mbo,4.112,34.44767705,0.423806238,1.352602627,0.498310896,0.879072382,0.640891198,pindu
179,A364,Barombi Mbo,5.536,85.26712731,0.544702476,1.985117676,0.60682395,1.240335426,0.912700399,pindu
180,A365,Barombi Mbo,5.528,32.29404347,0.578474795,1.96773997,0.660084697,1.216431166,0.904729631,pindu
181,A366,Barombi Mbo,3.926,37.46626283,0.4020957,1.393413207,0.473437193,0.813393768,0.591441814,mariae
182,A367,Barombi Mbo,5.304,39.13522506,0.522331418,1.826208806,0.603059645,1.132692886,0.865172228,pindu
183,A368,Barombi Mbo,4.098,42.72010693,0.42617827,1.391943089,0.482963843,0.861549841,0.611908538,ambiguous
184,A369,Barombi Mbo,7.172,47.47053521,0.626139148,2.379558571,0.762165627,1.460556029,1.045508989,mariae
185,A371,Barombi Mbo,3.754,33.37835759,0.368202079,1.19252893,0.502267633,0.838934905,0.600965042,mariae
186,A372,Barombi Mbo,7.266,51.86998264,0.666515858,2.587125828,0.788346482,1.598419878,1.168708303,pindu
187,A373,Barombi Mbo,4.765,37.35117064,0.420133228,1.538964836,0.498809262,1.040284358,0.730744683,pindu
188,A379,Barombi Mbo,2.935,34.01634502,0.281942835,0.928465021,0.344092575,0.647406507,0.447363256,pindu
189,A380,Barombi Mbo,3.715,41.17047566,0.345220289,1.177623767,0.397522456,0.753156477,0.55607611,mariae
190,A386,Barombi Mbo,5.025,76.01133134,0.495043134,1.674208927,0.65975613,1.15108969,0.831241269,mariae
191,A387,Barombi Mbo,6.019,36.53291889,0.595576778,2.097559348,0.600428594,1.284141039,0.917478291,ambiguous
192,A392,Barombi Mbo,3.613,36.14983126,0.359174638,1.206446284,0.409048669,0.75014538,0.537958236,mariae
193,A394,Barombi Mbo,6.28,47.207,0.651865763,2.255342513,0.675930282,1.390474469,0.995311761,pindu
194,A395,Barombi Mbo,5.283,40.20409704,0.527623017,1.825485463,0.576522549,1.157065718,0.796771855,pindu
195,A397,Barombi Mbo,3.478,39.55102782,0.355181861,1.133022348,0.382700203,0.701288377,0.532659173,pindu
196,A398,Barombi Mbo,5.753,40.33726242,0.551439982,1.997247789,0.598186009,1.285245214,0.883529057,pindu
197,A402,Barombi Mbo,3.88,44.87018047,0.40520832,1.321788663,0.445138929,0.887636914,0.622178303,ambiguous
198,A405,Barombi Mbo,3.065,34.19667652,0.314008318,1.059548912,0.350534146,0.69598695,0.480442537,pindu
199,A410,Barombi Mbo,4.343,41.81558415,0.460333548,1.49764337,0.48093787,0.911670178,0.716073667,pindu
200,A411,Barombi Mbo,4.77,41.23283273,0.485924424,1.576552558,0.541250615,1.089794248,0.785500703,pindu
201,A414,Barombi Mbo,4.78,33.8477234,0.473678073,1.624579933,0.576246701,1.036634601,0.751642111,pindu
202,A415,Barombi Mbo,6.9,39.25312628,0.674656111,2.328077945,0.702982826,1.501197304,1.054034711,pindu
203,A416,Barombi Mbo,5.121,37.46397205,0.502828469,1.695976845,0.575086215,1.058773703,0.777065903,pindu
204,A417,Barombi Mbo,3.3,36.65571969,0.325346459,1.093717255,0.411534638,0.742101362,0.537427772,mariae
205,A418,Barombi Mbo,4.173,36.96651362,0.401121191,1.413902743,0.448816017,0.917504197,0.617583883,pindu
206,A421,Barombi Mbo,5.083,39.62564422,0.52893911,1.784339284,0.596663448,1.185474596,0.842474879,pindu
207,A424,Barombi Mbo,3.584,38.65983606,0.339843413,1.150301592,0.414350647,0.719182589,0.514147194,pindu
